date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:06:56	43537/43537	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Apr%202023%2011:27:08%20GMT	https://opula2.najmihasnaa.com/	C:/webby/nft2/opula2.najmihasnaa.com/index.html	(from )
11:06:57	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Apr%202025%2010:06:58%20GMT	https://opula2.najmihasnaa.com/robots.txt		(from )
11:06:57	5768/5768	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Apr%202023%2011:27:08%20GMT	https://opula2.najmihasnaa.com/images/icon.png	C:/webby/nft2/opula2.najmihasnaa.com/images/icon.png	(from https://opula2.najmihasnaa.com/)
11:06:57	31000/31000	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Apr%202023%2011:27:08%20GMT	https://opula2.najmihasnaa.com/css/font-awesome.min.css	C:/webby/nft2/opula2.najmihasnaa.com/css/font-awesome.min.css	(from https://opula2.najmihasnaa.com/)
11:06:57	144877/144877	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Apr%202023%2011:27:08%20GMT	https://opula2.najmihasnaa.com/css/bootstrap.min.css	C:/webby/nft2/opula2.najmihasnaa.com/css/bootstrap.min.css	(from https://opula2.najmihasnaa.com/)
11:06:58	56048/56048	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Apr%202023%2011:27:08%20GMT	https://opula2.najmihasnaa.com/css/animate.min.css	C:/webby/nft2/opula2.najmihasnaa.com/css/animate.min.css	(from https://opula2.najmihasnaa.com/)
11:06:58	64916/64916	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Apr%202023%2011:27:08%20GMT	https://opula2.najmihasnaa.com/css/main.css	C:/webby/nft2/opula2.najmihasnaa.com/css/main.css	(from https://opula2.najmihasnaa.com/)
11:06:58	0/0	---M--	200	added ('OK')	text/css	date:Mon,%2024%20Apr%202023%2011:27:08%20GMT	https://opula2.najmihasnaa.com/css/colors/theme_color_1.css	C:/webby/nft2/opula2.najmihasnaa.com/css/colors/theme_color_1.css	(from https://opula2.najmihasnaa.com/)
11:06:59	43537/43537	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Apr%202023%2011:27:08%20GMT	https://opula2.najmihasnaa.com/index.html	C:/webby/nft2/opula2.najmihasnaa.com/index.html	(from https://opula2.najmihasnaa.com/)
11:06:59	16173/16173	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Apr%202023%2011:27:08%20GMT	https://opula2.najmihasnaa.com/images/logo2.png	C:/webby/nft2/opula2.najmihasnaa.com/images/logo2.png	(from https://opula2.najmihasnaa.com/)
11:06:59	52135/52135	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Apr%202023%2011:27:09%20GMT	https://opula2.najmihasnaa.com/index.html	C:/webby/nft2/opula2.najmihasnaa.com/index-3.html	(from https://opula2.najmihasnaa.com/)
11:06:59	22021/22021	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Apr%202023%2011:27:09%20GMT	https://opula2.najmihasnaa.com/about.html	C:/webby/nft2/opula2.najmihasnaa.com/about.html	(from https://opula2.najmihasnaa.com/)
11:07:00	15620/15620	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Apr%202023%2011:27:08%20GMT	https://opula2.najmihasnaa.com/team.html	C:/webby/nft2/opula2.najmihasnaa.com/team.html	(from https://opula2.najmihasnaa.com/)
11:07:00	13359/13359	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Apr%202023%2011:27:09%20GMT	https://opula2.najmihasnaa.com/faq.html	C:/webby/nft2/opula2.najmihasnaa.com/faq.html	(from https://opula2.najmihasnaa.com/)
11:07:00	29535/29535	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Apr%202023%2011:27:08%20GMT	https://opula2.najmihasnaa.com/shop.html	C:/webby/nft2/opula2.najmihasnaa.com/shop.html	(from https://opula2.najmihasnaa.com/)
11:07:01	18660/18660	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Apr%202023%2011:27:08%20GMT	https://opula2.najmihasnaa.com/collection.html	C:/webby/nft2/opula2.najmihasnaa.com/collection.html	(from https://opula2.najmihasnaa.com/)
11:07:01	10418/10418	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Apr%202023%2011:27:09%20GMT	https://opula2.najmihasnaa.com/roadmap.html	C:/webby/nft2/opula2.najmihasnaa.com/roadmap.html	(from https://opula2.najmihasnaa.com/)
11:07:01	18313/18313	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Apr%202023%2011:27:08%20GMT	https://opula2.najmihasnaa.com/blog.html	C:/webby/nft2/opula2.najmihasnaa.com/blog.html	(from https://opula2.najmihasnaa.com/)
11:07:01	19205/19205	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Apr%202023%2011:27:09%20GMT	https://opula2.najmihasnaa.com/blog-single.html	C:/webby/nft2/opula2.najmihasnaa.com/blog-single.html	(from https://opula2.najmihasnaa.com/)
11:07:02	11003/11003	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Apr%202023%2011:27:08%20GMT	https://opula2.najmihasnaa.com/contact.html	C:/webby/nft2/opula2.najmihasnaa.com/contact.html	(from https://opula2.najmihasnaa.com/)
